VIDEOID,SIGNALID,LOCATION,TIME1,TIME2,X1,X2,X3,X4,P1,P2,P3,P4,C1,C2,C3,C4,PERSON1,PERSON2,SAVED,NOTES,FOLDER
134,7610,"5415 S / 5400 S / SR-173 @ 4800 W / Charlotte Ave, KRN",6/14/2019 15:16,6/17/2019 8:46,N,,,W,2,4,6,8,,,,NW,PAS,JDD,20:15.3,,2019-06-14 7610
135,8117,"St George Blvd / SR-34 @ Main St, STG",6/14/2019 15:16,6/17/2019 8:46,N,E,,,2,4,6,8,NE,,,,PAS,SB,34:36.8,,2019-06-14 8117
136,7610,"5415 S / 5400 S / SR-173 @ 4800 W / Charlotte Ave, KRN",6/17/2019 8:56,6/18/2019 16:09,,E,S,,2,4,6,8,,SE,,,PAS,,48:57.2,,2019-06-17 7610
137,5330,"US-89/91 @ 1700 S / Park Ave / 600 W, LGN",6/24/2019 11:49,6/26/2019 13:38,,,SW,NW,8,2,4,6,,,W,,PAS,SB,54:19.9,,2019-06-24 5330
138,6303,"State St / US-89 @ 800 N / SR-52, ORM",6/24/2019 11:49,6/24/2019 13:44,N,,,W,8,2,4,6,,,,NW,PAS,,54:04.2,,2019-06-24 6303
139,6303,"State St / US-89 @ 800 N / SR-52, ORM",6/24/2019 13:49,6/25/2019 13:31,N,,,W,8,2,4,6,,,,NW,PAS,,54:04.2,,2019-06-24 6303
140,7110,"Redwood Rd / SR-68 @ 5400 S / SR-173, TAY",6/24/2019 11:50,6/26/2019 13:38,N,E,,,8,2,4,6,NE,,,,PAS,AB,33:10.6,,2019-06-24 7110
141,8601,"Main St @ 100 S, STG",6/24/2019 11:50,6/26/2019 13:38,N,,S,W,2,4,6,8,,,SW,NW,PAS,,57:02.8,,2019-06-24 8601
142,6303,"State St / US-89 @ 800 N / SR-52, ORM",6/25/2019 13:31,6/26/2019 13:38,,E,S,,8,2,4,6,,SE,,,PAS,,59:00.0,,2019-06-25 6303
143,5330,"US-89/91 @ 1700 S / Park Ave / 600 W, LGN",6/26/2019 13:49,6/27/2019 23:49,NE,SE,SW,,8,2,4,6,E,S,,,PAS,,02:04.3,,2019-06-26 5330
144,6303,"State St / US-89 @ 800 N / SR-52, ORM",6/26/2019 13:50,6/28/2019 16:10,N,,,W,8,2,4,6,,,,NW,PAS,SB,06:42.8,,2019-06-26 6303
145,6436,"University Pkwy / SR-265 @ 2230 N / Riverside Ave / 550 W, PVO",6/26/2019 13:50,6/28/2019 16:10,,SE,S,,2,4,6,8,,S,,,PAS,SB,32:13.6,southeast crosswalk is left/close half; south crosswalk is right/far half,2019-06-26 6436
146,8601,"Main St @ 100 S, STG",6/26/2019 13:51,6/28/2019 6:10,,E,S,W,2,4,6,8,,SE,SW,,PAS,,10:51.3,,2019-06-26 8601
147,5618,"Gentile St @ Flint St, LTN",6/28/2019 16:24,7/1/2019 8:30,,E,S,,NA,NA,6,NA,,SE,,,PAS,,15:36.2,,2019-06-28 5618
148,7110,"Redwood Rd / SR-68 @ 5400 S / SR-173, TAY",6/28/2019 16:25,7/1/2019 8:30,,E,S,W,8,2,4,6,,SE,SW,,PAS,,13:55.4,,2019-06-28 7110
149,8302,"Main St / US-191 @ Center St, MAB",6/28/2019 16:25,6/28/2019 22:56,N,E,,W,8,2,4,6,NE,,,NW,PAS,,17:36.9,,2019-06-28 8302
150,4011,"3900 S @ 2300 E, HDY",7/1/2019 8:45,7/3/2019 13:14,N,E,,W,2,4,5,8,NE,,,NW,PAS,,20:55.9,,2019-07-01 4011
151,5618,"Gentile St @ Flint St, LTN",7/1/2019 8:44,7/3/2019 13:14,,,S,W,NA,NA,6,NA,,,SW,,PAS,,19:11.2,,2019-07-01 5618
152,7099,"Redwood Rd / SR-68 @ 2320 S, WVC",7/1/2019 8:45,7/2/2019 1:08,N,E,,,8,2,4,6,NE,,,,PAS,,22:51.1,,2019-07-01 7099
153,7099,"Redwood Rd / SR-68 @ 2320 S, WVC",7/2/2019 1:37,7/3/2019 13:14,N,E,,,8,2,4,6,NE,,,,PAS,,26:28.0,,2019-07-02 7099
154,4011,"3900 S @ 2300 E, HDY",7/5/2019 13:05,7/8/2019 8:47,N,E,S,,2,4,6,8,NE,SE,,,PAS,,23:41.0,,2019-07-05 4011
155,5349,"Main St / US-89 @ 2600 S / SR-93, BTF",7/5/2019 13:06,7/8/2019 8:47,N,E,S,W,8,2,4,6,NE,SE,,NW,PAS,AB,37:42.9,video camera is on sw corner,2019-07-05 5349
156,7099,"Redwood Rd / SR-68 @ 2320 S, WVC",7/5/2019 13:06,7/8/2019 8:47,N,,S,W,8,2,4,6,,,SW,NW,PAS,,33:46.5,,2019-07-05 7099
157,8222,"200 N / Freedom Blvd / SR-56 @ 1225 W / I-15 NB Ramps, CDC",7/5/2019 13:07,7/8/2019 8:47,,E,S,W,2,4,6,8,,SE,SW,,PAS,,35:30.5,,2019-07-05 8222
158,5024,"Washington Blvd / US-89 @ 24th St / SR-53, OGD",7/8/2019 8:56,7/10/2019 4:14,,E,S,,8,2,4,6,,SE,,,PAS,SB,38:31.6,,2019-07-08 5024
159,5030,"Washington Blvd / US-89 @ 12th St / SR-39, OGD",7/8/2019 8:57,7/9/2019 12:05,N,,,W,8,2,4,6,,,,NW,PAS,,45:34.2,,2019-07-08 5030
160,6038,"Pioneer Crossing / SR-145 @ 2300 W / Saratoga Rd, LHI",7/8/2019 8:57,7/10/2019 4:14,N,E,S,W,2,4,6,8,,SE,,,PAS,AB,23:15.7,video camera is on nw corner,2019-07-08 6038
161,8302,"Main St / US-191 @ Center St, MAB",7/8/2019 8:58,7/10/2019 4:14,N,E,,W,8,2,4,6,NE,,,NW,PAS,,40:58.2,,2019-07-08 8302
162,4895,"New Bingham Hwy @ 4800 W, WJD",7/10/2019 16:52,7/12/2019 14:32,,,S,W,2,4,6,8,,,SW,,PAS,SB,03:53.5,,2019-07-10 4895
163,5030,"Washington Blvd / US-89 @ 12th St / SR-39, OGD",7/10/2019 16:53,7/11/2019 14:26,,E,S,,8,2,4,6,,SE,,,PAS,,47:42.3,,2019-07-10 5030
164,7381,"5600 W / SR-172 @ 3500 S / SR-171, WVC",7/10/2019 16:53,7/10/2019 19:03,N,E,S,,2,4,6,8,NE,SE,,,PAS,,51:25.8,,2019-07-10 7381
165,8302,"Main St / US-191 @ Center St, MAB",7/10/2019 16:54,7/12/2019 14:32,N,E,S,,8,2,4,6,NE,SE,,,PAS,SB,45:36.4,,2019-07-10 8302
166,5030,"Washington Blvd / US-89 @ 12th St / SR-39, OGD",7/11/2019 15:12,7/12/2019 14:28,,E,S,,8,2,4,6,,SE,,,PAS,,54:23.2,,2019-07-11 5030
167,4020,"3900 S @ 210 W / Howick St, SSL",7/12/2019 14:43,7/15/2019 8:14,,,S,W,2,4,6,NA,,,SW,,PAS,,57:26.9,,2019-07-12 4020
168,4895,"New Bingham Hwy @ 4800 W, WJD",7/12/2019 14:43,7/15/2019 8:14,N,E,,,2,4,6,8,NE,,,,PAS,,55:53.8,,2019-07-12 4895
169,7164,"State St / US-89 @ Winchester St / 6400 S, MUR",7/12/2019 14:44,7/15/2019 8:14,N,E,,,8,2,4,6,NE,,,,PAS,AB,37:03.6,,2019-07-12 7164
170,4020,"3900 S @ 210 W / Howick St, SSL",7/15/2019 9:48,7/17/2019 12:44,N,E,,,2,4,6,NA,NE,,,,PAS,,09:42.2,,2019-07-15 4020
171,5624,"Fairfield Rd / 850 E @ Wasatch Dr / 425 N, LTN",7/15/2019 9:49,7/17/2019 12:44,N,E,S,,8,2,4,6,NE,SE,,,PAS,JDD,47:58.3,,2019-07-15 5624
172,6078,"Redwood Rd / SR-68 @ Pony Express Pkwy, SSP",7/15/2019 9:50,7/17/2019 12:44,,,S,W,NA,NA,4,6,,,SW,,PAS,,15:21.6,,2019-07-15 6078
173,7164,"State St / US-89 @ Winchester St / 6400 S, MUR",7/15/2019 9:50,7/17/2019 12:44,,,S,W,8,2,4,6,,,SW,,PAS,,16:56.5,,2019-07-15 7164
174,1225,"1300 E / Leopard Ln @ 800 S, SLC",7/17/2019 12:54,7/19/2019 16:17,N,E,,W,8,2,4,6,NE,,,NW,PAS,SB,07:39.6,,2019-07-17 1225
175,5624,"Fairfield Rd / 850 E @ Wasatch Dr / 425 N, LTN",7/17/2019 12:54,7/19/2019 16:17,,E,S,W,8,2,4,6,,SE,SW,,PAS,,18:38.9,,2019-07-17 5624
176,6307,"800 N / SR-52 @ Palisade Dr / 1300 E, ORM",7/17/2019 12:55,7/19/2019 16:17,,E,S,W,2,4,6,8,,SE,SW,,PAS,,22:15.5,,2019-07-17 6307
177,7126,"300 W / John Stockton Dr / US-89 @ South Temple St, SLC",7/17/2019 12:56,7/19/2019 16:17,N,,,W,8,2,4,6,,,,NW,PAS,,09:38.0,,2019-07-17 7126
178,1225,"1300 E / Leopard Ln @ 800 S, SLC",7/19/2019 16:27,7/22/2019 9:10,,,S,W,8,2,4,6,,,SW,,PAS,SB,55:09.3,,2019-07-19 1225
179,6307,"800 N / SR-52 @ Palisade Dr / 1300 E, ORM",7/19/2019 16:27,7/22/2019 9:10,N,,,W,2,4,6,8,,,,NW,PAS,,13:10.3,,2019-07-19 6307
180,7126,"300 W / John Stockton Dr / US-89 @ South Temple St, SLC",7/19/2019 16:28,7/22/2019 9:10,,E,S,,8,2,4,6,,SE,,,PAS,JDD,14:32.5,,2019-07-19 7126
181,7464,"5415 S / 5400 S / SR-173 @ 4420 W, KRN",7/19/2019 16:29,7/22/2019 9:10,N,E,,W,8,2,4,6,NE,,,NW,PAS,SB,10:39.7,,2019-07-19 7464
182,5393,"Antelope Dr / 1700 S / SR-108 @ 2000 W / SR-108, SYR",7/23/2019 8:35,7/25/2019 16:11,,E,S,,2,4,6,8,,SE,,,PAS,AB,30:14.4,,2019-07-23 5393
183,6168,"State St / SR-198 @ 1400 S, PSN",7/23/2019 8:36,7/25/2019 16:11,,,S,W,8,2,4,6,,,SW,,PAS,SB,25:26.3,,2019-07-23 6168
184,7464,"5415 S / 5400 S / SR-173 @ 4420 W, KRN",7/23/2019 8:36,7/25/2019 16:11,,E,S,,8,2,4,6,,SE,,,PAS,SB,56:03.0,,2019-07-23 7464
185,8222,"200 N / Freedom Blvd / SR-56 @ 1225 W / I-15 NB Ramps, CDC",7/23/2019 8:37,7/25/2019 16:12,N,E,,,2,4,6,8,NE,,,,PAS,,30:40.0,,2019-07-23 8222
186,5393,"Antelope Dr / 1700 S / SR-108 @ 2000 W / SR-108, SYR",7/26/2019 15:51,7/29/2019 8:16,N,,,W,2,4,6,8,,,,NW,PAS,SB,22:46.8,,2019-07-26 5393
187,6168,"State St / SR-198 @ 1400 S, PSN",7/26/2019 15:52,7/29/2019 8:16,N,E,,,8,2,4,6,NE,,,,PAS,JDD,35:12.4,,2019-07-26 6168
188,7285,"3500 S / SR-171 @ 3200 W, WVC",7/26/2019 15:53,7/29/2019 8:16,,E,S,W,2,4,6,8,,SE,SW,,PAS,,36:01.1,,2019-07-26 7285
189,8627,"3050 E @ 850 N, STG",7/26/2019 15:53,7/29/2019 8:16,N,,S,W,9,NA,9,6,,,SW,NW,PAS,JDD,56:29.5,,2019-07-26 8627
190,5030,"Washington Blvd / US-89 @ 12th St / SR-39, OGD",7/29/2019 8:38,7/30/2019 15:00,N,,,W,8,2,4,6,,,,NW,PAS,,43:07.9,,2019-07-29 5030
191,7285,"3500 S / SR-171 @ 3200 W, WVC",7/29/2019 8:39,7/30/2019 11:30,N,,,W,2,4,6,8,,,,NW,PAS,,40:52.1,,2019-07-29 7285
192,7475,"HAWK (300 W / US-89 @ 50 S, SLC)",7/29/2019 8:39,7/31/2019 12:23,N,,,,4,NA,NA,NA,,,,,PAS,AB,25:17.8,,2019-07-29 7475
193,8725,"Pioneer Pkwy @ Rachel Dr, SCL",7/29/2019 8:40,7/29/2019 15:16,N,E,,,2,4,6,8,NE,,,,PAS,,46:52.1,,2019-07-29 8725
194,4130,"6200 S @ Jordan Canal Rd / Margray Dr, TAY",7/31/2019 12:44,7/31/2019 15:40,,,S,W,2,4,6,8,,,SW,,PAS,,50:55.7,,2019-07-31 4130
195,4130,"6200 S @ Jordan Canal Rd / Margray Dr, TAY",7/31/2019 15:47,8/2/2019 3:33,,,S,W,2,4,6,8,,,SW,,PAS,,50:55.7,,2019-07-31 4130
196,7060,"Bangerter Hwy / SR-154 @ 3500 S / SR-171, WVC",7/31/2019 12:45,8/2/2019 13:11,N,E,,,8,2,4,6,NE,,,,PAS,,57:39.5,CFI,2019-07-31 7060
197,7382,"5600 W / SR-172 @ 4100 S, WVC",7/31/2019 12:45,8/2/2019 13:11,,E,S,,8,2,4,6,,SE,,,PAS,SB,48:46.6,,2019-07-31 7382
198,7511,"Mountain View / SR-85 NB @ 13400 S, RVT",7/31/2019 12:46,8/2/2019 13:11,,E,S,W,NA,4,16,NA,,SE,SW,,PAS,,05:27.8,Phases 6 and 8 unknown crosswalks,2019-07-31 7511
199,7060,"Bangerter Hwy / SR-154 @ 3500 S / SR-171, WVC",8/2/2019 13:29,8/5/2019 8:33,,,S,W,8,2,4,6,,,SW,,PAS,,59:15.9,CFI,2019-08-02 7060
200,7382,"5600 W / SR-172 @ 4100 S, WVC",8/2/2019 13:29,8/5/2019 8:33,N,,,W,8,2,4,6,,,,NW,PAS,,02:14.2,,2019-08-02 7382
201,4130,"6200 S @ Jordan Canal Rd / Margray Dr, TAY",8/2/2019 3:44,8/2/2019 13:11,,,S,W,2,4,6,8,,,SW,,PAS,,52:05.2,,2019-08-02a 4130
202,4130,"6200 S @ Jordan Canal Rd / Margray Dr, TAY",8/2/2019 13:28,8/4/2019 3:33,N,E,,,2,4,6,8,NE,,,,PAS,,53:40.0,,2019-08-02b 4130
203,4130,"6200 S @ Jordan Canal Rd / Margray Dr, TAY",8/4/2019 7:40,8/5/2019 8:33,N,E,,,2,4,6,8,NE,,,,PAS,,55:03.7,,2019-08-04 4130
204,7381,"5600 W / SR-172 @ 3500 S / SR-171, WVC",8/5/2019 8:49,8/7/2019 13:09,N,E,S,,2,4,6,8,NE,SE,,,PAS,,47:47.9,,2019-08-05 7381
205,8119,"St George Blvd / SR-34 @ 400 E, STG",8/5/2019 8:50,8/7/2019 13:09,,E,S,,2,4,6,8,,SE,,,PAS,AB,43:18.3,,2019-08-05 8119
206,5093,"1900 W / SR-126 @ 4800 S, ROY",8/5/2019 8:49,8/5/2019 10:03,,E,S,,8,2,4,6,,SE,,,PAS,,40:35.3,,2019-08-05a 5093
207,5093,"1900 W / SR-126 @ 4800 S, ROY",8/5/2019 10:14,8/5/2019 20:51,,E,S,,8,2,4,6,,SE,,,PAS,,42:10.2,,2019-08-05b 5093
208,5093,"1900 W / SR-126 @ 4800 S, ROY",8/5/2019 21:50,8/6/2019 7:56,,E,S,,8,2,4,6,,SE,,,PAS,,43:53.5,,2019-08-05c 5093
209,5093,"1900 W / SR-126 @ 4800 S, ROY",8/6/2019 9:44,8/6/2019 20:56,,E,S,,8,2,4,6,,SE,,,PAS,,45:21.8,,2019-08-06a 5093
210,5093,"1900 W / SR-126 @ 4800 S, ROY",8/6/2019 22:15,8/7/2019 8:23,,E,S,,8,2,4,6,,SE,,,PAS,,46:43.7,,2019-08-06b 5093
211,7160,"State St / US-89 @ 5300 S / SR-173, MUR",8/7/2019 13:18,8/9/2019 15:15,,E,S,,8,2,4,6,,SE,,,PAS,SB,43:49.9,,2019-08-07 7160
212,7812,"Main St / SR-36 @ 2000 N, TLE",8/7/2019 13:19,8/9/2019 15:15,,,,W,NA,NA,NA,6,,,SW,,PAS,,23:24.6,,2019-08-07 7812
213,8119,"St George Blvd / SR-34 @ 400 E, STG",8/7/2019 13:19,8/8/2019 9:34,N,,,W,2,4,6,8,,,,NW,PAS,,55:04.1,,2019-08-07 8119
214,5093,"1900 W / SR-126 @ 4800 S, ROY",8/7/2019 11:45,8/7/2019 13:09,,E,S,,8,2,4,6,,SE,,,PAS,,47:42.8,,2019-08-07a 5093
215,5093,"1900 W / SR-126 @ 4800 S, ROY",8/7/2019 14:27,8/7/2019 16:51,N,,S,W,8,2,4,6,,,SW,NW,PAS,,49:21.5,,2019-08-07b 5093
216,5093,"1900 W / SR-126 @ 4800 S, ROY",8/7/2019 20:53,8/8/2019 9:05,N,,S,W,8,2,4,6,,,SW,NW,PAS,,50:44.9,,2019-08-07c 5093
217,8119,"St George Blvd / SR-34 @ 400 E, STG",8/8/2019 13:09,8/9/2019 15:15,N,,,W,2,4,6,8,,,,NW,PAS,AB,34:49.3,,2019-08-08 8119
218,5093,"1900 W / SR-126 @ 4800 S, ROY",8/8/2019 10:33,8/8/2019 15:14,N,,S,W,8,2,4,6,,,SW,NW,PAS,,52:10.6,,2019-08-08a 5093
219,5093,"1900 W / SR-126 @ 4800 S, ROY",8/8/2019 15:24,8/8/2019 17:37,N,,S,W,8,2,4,6,,,SW,NW,PAS,,52:10.6,,2019-08-08a 5093
220,5093,"1900 W / SR-126 @ 4800 S, ROY",8/8/2019 17:43,8/9/2019 9:18,N,,S,W,8,2,4,6,,,SW,NW,PAS,AB,30:43.1,,2019-08-08b 5093
221,5093,"1900 W / SR-126 @ 4800 S, ROY",8/9/2019 9:59,8/9/2019 15:15,N,,S,W,8,2,4,6,,,SW,NW,PAS,,54:42.6,,2019-08-09 5093
222,5170,"200 N / SR-273 @ Main St / SR-273, KAY",8/9/2019 15:26,8/12/2019 8:16,,E,S,W,8,2,4,6,,SE,SW,,PAS,,30:30.2,,2019-08-09 5170
223,7160,"State St / US-89 @ 5300 S / SR-173, MUR",8/9/2019 15:27,8/12/2019 8:16,N,,,W,8,2,4,6,,,,NW,PAS,,21:35.6,,2019-08-09 7160
224,7719,"HAWK (Park Ave / SR-224 @ Homestake Rd, PKC)",8/9/2019 15:27,8/12/2019 8:16,N,,,,4,NA,NA,NA,,,,,PAS,,36:06.2,,2019-08-09 7719
225,1801,"HAWK (South Temple @ 50 E, SLC)",8/12/2019 8:39,8/14/2019 3:19,,E,,,NA,4,NA,NA,,,,,PAS,,47:07.6,,2019-08-12 1801
226,5170,"200 N / SR-273 @ Main St / SR-273, KAY",8/12/2019 8:39,8/14/2019 3:19,N,,,W,8,2,4,6,,,,NW,PAS,,38:51.8,,2019-08-12 5170
227,7184,"700 E / SR-71 @ 900 S, SLC",8/12/2019 8:40,8/14/2019 3:19,N,E,,,8,2,4,6,NE,,,,PAS,,37:52.1,,2019-08-12 7184
228,5221,"205 S / SR-193 @ 2000 W / SR-108, SYR",8/14/2019 13:29,8/16/2019 16:16,N,,,W,8,2,4,6,,,,NW,PAS,,40:49.2,,2019-08-14 5221
229,7184,"700 E / SR-71 @ 900 S, SLC",8/14/2019 13:29,8/16/2019 16:16,,,S,W,8,2,4,6,,,SW,,PAS,SB,29:27.8,,2019-08-14 7184
230,8105,"Sunset Blvd / SR-8 @ Dixie Dr / Dixie Downs Rd, STG",8/14/2019 13:30,8/16/2019 16:16,N,,,W,2,4,6,8,,,,NW,PAS,,48:14.5,,2019-08-14 8105
231,5221,"205 S / SR-193 @ 2000 W / SR-108, SYR",8/16/2019 16:24,8/19/2019 8:21,,E,S,,8,2,4,6,,SE,,,PAS,,42:14.7,,2019-08-16 5221
232,7110,"Redwood Rd / SR-68 @ 5400 S / SR-173, TAY",8/16/2019 16:25,8/19/2019 8:21,,,,NW,NA,NA,NA,16,,,,,PAS,SB,03:38.4,uncertain if phase 12 or 16,2019-08-16 7110
233,8105,"Sunset Blvd / SR-8 @ Dixie Dr / Dixie Downs Rd, STG",8/16/2019 16:25,8/19/2019 8:21,,E,S,,2,4,6,8,,SE,,,PAS,,49:44.1,,2019-08-16 8105
234,1803,"HAWK (800 S @ 1250 E, SLC)",9/9/2019 8:31,9/11/2019 3:23,,E,,,NA,4,NA,NA,,,,,PAS,JDD,07:58.2,,2019-09-09 1803
235,5315,"1000 W / SR-252 @ 600 S / Mendon Rd, LGN",9/9/2019 8:31,9/11/2019 3:23,N,,,W,8,2,4,6,,,,NW,PAS,SB,59:24.3,,2019-09-09 5315
236,7041,"South Campus Dr / SR-282 @ 1725 E, SLC",9/9/2019 8:32,9/11/2019 3:23,,,S,W,2,4,6,8,,,SW,,PAS,SB,37:05.3,,2019-09-09 7041
237,5260,"HAWK (2000 W / SR-108 @ Syracuse JHS, SYR)",9/11/2019 12:30,9/13/2019 16:07,N,,,,4,NA,NA,NA,,,,,PAS,,15:29.2,,2019-09-11 5260
238,5315,"1000 W / SR-252 @ 600 S / Mendon Rd, LGN",9/11/2019 12:31,9/13/2019 16:07,N,E,S,,8,2,4,6,NE,SE,,,PAS,,13:53.7,,2019-09-11 5315
239,7041,"South Campus Dr / SR-282 @ 1725 E, SLC",9/11/2019 12:32,9/13/2019 16:07,N,E,,W,2,4,6,8,NE,,,NW,PAS,JDD,50:13.9,,2019-09-11 7041
240,5306,"Main St / US-89/91 @ 400 N / US-89, LGN",9/13/2019 16:12,9/16/2019 8:22,,E,S,,8,2,NA,6,,SE,,,PAS,,17:38.2,,2019-09-13 5306
241,5306,"Main St / US-89/91 @ 400 N / US-89, LGN",9/17/2019 13:41,9/19/2019 15:07,N,,,W,8,2,NA,6,,,SW,NW,PAS,AB,54:26.0,,2019-09-17 5306
242,5108,"Hill Field Rd / SR-232 @ 2000 N / Antelope Dr, LTN",10/21/2019 8:38,10/23/2019 13:22,,,S,W,8,2,4,6,,,SW,,PAS,SB,40:14.6,I only counted the crossing guards once per day. ,2019-10-21 5108
243,6407,"University Ave / US-189 @ Center St, PVO",10/21/2019 8:39,10/23/2019 13:22,N,E,,,8,2,4,6,NE,,,,PAS,SB,48:43.7,,2019-10-21 6407
244,5108,"Hill Field Rd / SR-232 @ 2000 N / Antelope Dr, LTN",10/23/2019 13:55,10/25/2019 16:24,N,E,,,8,2,4,6,NE,,,,PAS,SB,56:46.6,I only counted the crossing guard once in the morning and once in the afternoon every day. ,2019-10-23 5108
245,6407,"University Ave / US-189 @ Center St, PVO",10/23/2019 13:56,10/25/2019 16:24,,,S,W,8,2,4,6,,,SW,,PAS,,24:40.6,,2019-10-23 6407
246,8302,"Main St / US-191 @ Center St, MAB",10/23/2019 13:57,10/25/2019 16:24,N,E,,W,8,2,4,6,NE,,,NW,PAS,,27:27.3,,2019-10-23 8302
247,8302,"Main St / US-191 @ Center St, MAB",10/25/2019 16:27,10/28/2019 9:12,,E,S,,8,2,4,6,,SE,SW,,PAS,,29:12.9,,2019-10-25 8302
248,5306,"Main St / US-89/91 @ 400 N / US-89, LGN",11/11/2019 12:41,11/13/2019 3:18,,E,S,,8,2,NA,6,,SE,,,PAS,,32:27.1,,2019-11-11 5306
249,5349,"Main St / US-89 @ 2600 S / SR-93, BTF",11/11/2019 12:36,11/13/2019 3:18,N,E,S,W,8,2,4,6,NE,SE,,NW,PAS,,35:51.2,,2019-11-11 5349
250,7610,"5415 S / 5400 S / SR-173 @ 4800 W / Charlotte Ave, KRN",11/11/2019 12:37,11/13/2019 3:18,N,,,W,2,4,6,8,,,,NW,PAS,,37:37.6,,2019-11-11 7610
251,4130,"6200 S @ Jordan Canal Rd / Margray Dr, TAY",11/13/2019 15:57,11/15/2019 16:03,N,E,,,2,4,6,8,NE,,,,PAS,,39:13.2,,2019-11-13 4130
252,5306,"Main St / US-89/91 @ 400 N / US-89, LGN",11/13/2019 15:57,11/15/2019 16:03,N,,,W,8,2,NA,6,,,SW,NW,PAS,,34:01.2,,2019-11-13 5306
253,8119,"St George Blvd / SR-34 @ 400 E, STG",11/13/2019 15:58,11/15/2019 16:03,,E,S,,2,4,6,8,,SE,,,PAS,,40:54.2,,2019-11-13 8119
254,4130,"6200 S @ Jordan Canal Rd / Margray Dr, TAY",11/15/2019 16:08,11/18/2019 8:08,,,S,W,2,4,6,8,,,SW,,PAS,,42:20.8,,2019-11-15 4130
255,7610,"5415 S / 5400 S / SR-173 @ 4800 W / Charlotte Ave, KRN",11/15/2019 16:08,11/18/2019 8:08,,E,S,,2,4,6,8,,SE,,,PAS,AB,46:07.9,,2019-11-15 7610
256,8119,"St George Blvd / SR-34 @ 400 E, STG",11/15/2019 16:09,11/18/2019 8:08,N,,,W,2,4,6,8,,,,NW,PAS,,45:00.0,,2019-11-15 8119
257,5306,"Main St / US-89/91 @ 400 N / US-89, LGN",11/18/2019 8:16,11/19/2019 8:12,,E,S,,8,2,NA,6,,SE,,,PAS,,46:23.3,,2019-11-18 5306
258,5349,"Main St / US-89 @ 2600 S / SR-93, BTF",11/18/2019 8:17,11/19/2019 8:12,N,E,S,W,8,2,4,6,NE,SE,,NW,PAS,,47:47.0,,2019-11-18 5349
259,7610,"5415 S / 5400 S / SR-173 @ 4800 W / Charlotte Ave, KRN",11/18/2019 8:17,11/19/2019 8:12,N,,,W,2,4,6,8,,,,NW,PAS,,49:05.5,,2019-11-18 7610
260,7126,"300 W / John Stockton Dr / US-89 @ South Temple St, SLC",11/19/2019 8:18,11/21/2019 8:08,,E,S,,8,2,4,6,,SE,,,PAS,,50:58.0,,2019-11-19 7126
261,7184,"700 E / SR-71 @ 900 S, SLC",11/19/2019 8:19,11/21/2019 8:08,N,E,,,8,2,4,6,NE,,,,PAS,,52:28.5,,2019-11-19 7184
262,7126,"300 W / John Stockton Dr / US-89 @ South Temple St, SLC",11/22/2019 14:55,11/23/2019 18:55,N,,,W,8,2,4,6,,,,NW,PAS,,55:36.0,,2019-11-22 7126
263,7184,"700 E / SR-71 @ 900 S, SLC",11/22/2019 14:55,11/25/2019 9:04,,,S,W,8,2,4,6,,,SW,,PAS,,54:03.6,,2019-11-22 7184
264,7126,"300 W / John Stockton Dr / US-89 @ South Temple St, SLC",11/23/2019 18:57,11/25/2019 9:04,N,E,S,,8,2,4,6,NE,,,,PAS,SB,04:28.7,"I had a hard time counting the people coming out of the Vivint Center at the beginning of my file, but I did my best. ",2019-11-23 7126
265,7126,"300 W / John Stockton Dr / US-89 @ South Temple St, SLC",12/4/2019 8:15,12/4/2019 16:28,N,,,W,8,2,4,6,,,,NW,PAS,,59:49.0,,2019-12-04 7126
266,7126,"300 W / John Stockton Dr / US-89 @ South Temple St, SLC",12/5/2019 8:18,12/6/2019 8:04,N,,,W,8,2,4,6,,,,NW,PAS,,01:01.0,,2019-12-05 7126
