"SIGNAL","TYPOLOGY"
1001,5
1002,6
1003,5
1009,5
1010,5
1011,5
1012,5
1013,7
1014,2
1015,1
1016,1
1017,2
1018,5
1019,5
1020,5
1021,2
1024,5
1025,2
1026,2
1027,5
1028,2
1029,2
1031,2
1034,2
1036,2
1037,5
1045,5
1047,5
1048,2
1049,2
1051,2
1055,2
1057,2
1058,2
1059,6
1060,5
1061,5
1062,2
1063,2
1065,2
1066,5
1067,6
1068,6
1069,5
1070,7
1071,5
1072,5
1073,2
1074,2
1075,5
1076,5
1077,5
1078,6
1079,6
1080,2
1082,2
1083,2
1084,2
1086,5
1088,5
1090,5
1091,5
1092,7
1093,2
1094,5
1095,5
1096,2
1098,5
1102,5
1103,5
1104,2
1105,2
1106,5
1107,2
1109,6
1110,5
1112,1
1113,2
1114,5
1116,5
1121,5
1122,2
1123,2
1124,5
1125,7
1126,6
1127,6
1129,6
1130,5
1132,6
1133,5
1134,5
1135,5
1136,2
1137,7
1138,5
1139,5
1140,7
1141,2
1142,6
1143,5
1145,6
1146,2
1148,2
1150,5
1151,6
1152,5
1153,5
1157,1
1159,6
1160,6
1162,5
1163,2
1164,2
1165,6
1166,5
1167,5
1168,5
1169,5
1170,6
1177,2
1178,1
1180,5
1181,5
1183,5
1202,2
1203,2
1205,1
1206,5
1207,5
1213,5
1214,5
1215,2
1216,2
1217,2
1218,1
1219,1
1220,1
1223,2
1227,6
1228,5
1229,2
1230,5
1231,6
1232,5
1233,5
1234,5
1235,5
1236,5
1237,5
1238,2
1241,6
1801,2
4001,6
4002,5
4003,5
4005,5
4010,5
4011,7
4012,3
4013,2
4014,5
4015,7
4016,5
4017,5
4018,5
4019,5
4020,5
4023,5
4024,5
4028,7
4029,7
4030,5
4034,5
4035,6
4036,5
4037,5
4041,7
4090,5
4091,6
4098,6
4100,5
4101,5
4102,7
4104,7
4105,7
4106,5
4107,5
4108,7
4110,7
4111,7
4112,7
4114,7
4115,5
4117,6
4120,7
4121,7
4122,6
4123,5
4124,6
4125,5
4126,6
4127,5
4128,6
4129,5
4130,6
4132,5
4133,6
4137,6
4140,6
4142,6
4143,5
4149,5
4150,5
4152,5
4156,5
4157,5
4158,5
4159,6
4160,5
4161,5
4162,5
4164,5
4165,6
4168,5
4169,6
4170,5
4171,5
4172,6
4301,5
4302,7
4388,5
4389,5
4394,6
4395,2
4400,5
4401,5
4404,5
4405,5
4406,5
4407,6
4409,5
4501,5
4502,6
4503,6
4504,3
4505,6
4507,7
4508,5
4509,6
4510,5
4511,7
4512,7
4513,6
4514,6
4515,7
4518,6
4521,5
4522,5
4525,5
4526,7
4528,7
4529,5
4530,6
4532,6
4533,6
4534,2
4602,6
4605,6
4608,6
4636,5
4637,5
4641,6
4650,5
4662,6
4670,6
4671,5
4702,7
4704,6
4705,6
4706,5
4707,6
4708,5
4709,7
4726,7
4739,7
4803,6
4804,5
4807,5
4808,7
4810,6
4811,6
4813,7
4815,5
4817,5
4818,5
4820,6
4822,5
4823,5
4824,5
4825,5
4829,5
4832,5
4837,5
4838,6
4839,7
4840,6
4841,5
4842,7
4843,7
4844,6
4846,6
4850,5
4852,6
4853,5
4854,7
4857,5
4858,5
4862,5
4863,6
4865,5
4866,5
4867,2
4869,5
4870,5
4871,5
4873,5
4880,5
4881,5
4882,5
4883,5
4888,6
4891,5
4895,5
4897,7
5000,5
5001,5
5002,5
5004,5
5005,5
5006,2
5007,5
5008,5
5009,5
5010,5
5011,5
5012,5
5013,5
5014,5
5015,5
5016,7
5017,5
5018,5
5019,2
5020,5
5021,5
5022,5
5023,5
5024,5
5025,5
5026,5
5027,2
5028,5
5029,5
5030,2
5031,5
5032,5
5033,5
5034,5
5036,6
5037,5
5039,6
5041,7
5042,5
5043,5
5044,5
5045,5
5046,6
5048,5
5049,7
5050,7
5051,5
5052,6
5053,5
5054,5
5055,5
5056,5
5058,2
5059,5
5060,5
5061,5
5062,6
5063,5
5064,5
5066,5
5067,5
5068,7
5069,7
5070,7
5071,5
5072,5
5073,5
5074,5
5075,5
5076,6
5077,7
5078,7
5079,7
5080,5
5081,7
5082,5
5083,5
5084,5
5085,5
5086,5
5088,5
5089,5
5090,6
5091,5
5092,5
5093,7
5094,2
5095,6
5096,5
5097,6
5098,7
5099,5
5100,5
5101,5
5103,2
5104,5
5105,6
5106,5
5108,3
5109,7
5111,5
5112,5
5113,5
5115,5
5116,6
5117,6
5118,6
5119,7
5120,5
5121,5
5122,5
5123,5
5124,7
5125,6
5126,5
5127,5
5128,5
5129,5
5130,7
5131,5
5132,7
5133,5
5134,6
5135,6
5139,5
5140,6
5141,5
5142,5
5144,5
5146,5
5147,5
5149,7
5150,5
5151,6
5152,5
5153,7
5154,5
5155,5
5156,5
5157,7
5160,6
5161,6
5162,5
5164,5
5166,5
5168,5
5169,5
5170,5
5171,5
5172,5
5173,7
5174,6
5177,7
5178,7
5179,5
5182,5
5184,7
5185,5
5186,5
5187,5
5188,6
5189,5
5190,5
5193,5
5194,5
5195,5
5196,5
5200,5
5204,6
5205,6
5206,5
5207,5
5208,5
5214,5
5215,6
5220,6
5221,7
5222,6
5223,6
5224,5
5225,6
5227,7
5231,5
5259,6
5297,5
5299,6
5301,5
5302,5
5303,2
5304,5
5305,5
5306,5
5307,5
5308,6
5309,2
5310,5
5311,5
5312,2
5313,2
5314,5
5315,7
5316,6
5317,7
5318,5
5319,5
5320,5
5321,5
5322,6
5323,7
5324,5
5325,6
5326,6
5327,6
5330,5
5331,5
5332,5
5343,5
5344,6
5345,6
5346,5
5347,5
5348,7
5349,4
5350,2
5352,5
5353,5
5354,5
5355,5
5356,6
5357,6
5358,6
5359,6
5360,6
5361,5
5362,5
5363,5
5364,6
5365,6
5366,7
5367,6
5368,5
5370,5
5371,7
5372,5
5373,7
5374,5
5375,5
5377,5
5382,5
5384,5
5388,6
5389,5
5390,5
5393,3
5394,6
5396,5
5397,5
5398,7
5399,7
5400,7
5401,6
5500,6
5501,6
5502,5
5503,1
5504,2
5505,7
5506,5
5507,2
5508,5
5509,5
5510,7
5511,7
5512,6
5514,7
5515,4
5601,6
5602,6
5603,6
5604,6
5605,6
5606,5
5607,6
5608,6
5609,6
5610,6
5611,6
5612,5
5613,5
5614,7
5615,6
5617,5
5618,6
5619,6
5620,6
5621,6
5622,6
5623,6
5624,7
5625,6
5626,5
5627,5
5702,5
5726,6
5800,5
5801,5
5802,5
5803,5
5805,6
5806,2
5807,1
5808,1
5809,5
5810,5
5811,5
5812,7
5813,5
5814,5
5815,5
5816,5
5817,5
5855,5
5856,6
5900,5
5902,6
5903,5
5990,5
6000,6
6001,5
6002,5
6003,7
6004,5
6005,5
6006,5
6007,5
6008,5
6009,5
6010,5
6011,5
6012,5
6017,5
6018,5
6020,5
6021,5
6022,5
6023,5
6024,5
6025,5
6026,5
6027,5
6028,5
6029,5
6030,7
6031,6
6032,5
6033,5
6034,5
6035,6
6036,5
6037,5
6038,5
6039,6
6040,5
6041,5
6042,6
6043,6
6044,5
6047,5
6048,5
6049,5
6050,5
6052,5
6054,5
6057,5
6058,5
6059,5
6060,5
6061,5
6062,5
6063,5
6065,5
6066,5
6067,6
6068,5
6069,5
6070,5
6071,5
6072,5
6074,5
6075,5
6076,6
6078,6
6080,5
6081,5
6082,5
6089,5
6090,6
6091,5
6093,5
6094,5
6095,5
6096,5
6097,5
6098,5
6101,3
6102,5
6103,2
6104,4
6105,7
6106,5
6108,5
6110,5
6111,5
6114,5
6115,7
6116,7
6117,5
6118,5
6119,5
6120,5
6121,7
6122,7
6123,7
6124,5
6125,5
6126,5
6127,5
6128,5
6129,5
6130,5
6131,5
6132,5
6133,5
6134,6
6135,5
6137,5
6138,5
6139,5
6140,6
6141,5
6142,5
6145,5
6146,6
6147,6
6148,5
6149,6
6150,7
6151,5
6152,5
6160,5
6161,7
6163,5
6165,5
6166,5
6167,5
6168,7
6170,5
6172,5
6173,6
6175,6
6176,7
6177,6
6178,6
6179,7
6180,5
6190,5
6192,5
6250,6
6253,6
6254,5
6255,6
6258,5
6301,7
6302,7
6303,2
6304,5
6305,7
6306,7
6307,5
6308,5
6309,2
6310,5
6311,2
6312,6
6313,6
6314,5
6315,5
6316,5
6317,2
6318,5
6319,5
6320,5
6321,5
6322,5
6323,5
6324,2
6325,5
6326,5
6327,5
6328,5
6329,5
6389,7
6390,5
6391,6
6392,5
6393,5
6394,7
6395,6
6397,5
6398,5
6399,5
6402,5
6403,5
6404,2
6405,5
6406,5
6407,2
6408,2
6409,2
6410,2
6411,5
6412,2
6413,2
6414,5
6415,1
6416,2
6417,2
6418,5
6419,5
6420,5
6421,5
6422,5
6423,5
6424,5
6426,6
6427,5
6429,5
6430,6
6431,5
6432,5
6434,2
6435,5
6436,5
6438,5
6439,5
6440,5
6441,2
6442,2
6443,5
6444,4
6445,5
6446,2
6447,5
6448,5
6449,5
6451,5
6452,6
6453,6
6455,6
6456,5
6457,5
6458,5
6460,5
6500,5
6501,6
6502,7
6503,7
6504,2
6505,7
6506,5
6507,5
6508,7
6509,6
6510,5
6511,5
6512,7
6513,7
6514,7
6515,5
6516,5
6517,1
6518,7
6519,6
6520,6
6521,7
6522,7
6523,7
6524,5
6525,7
6526,5
6527,5
6528,5
6529,5
6530,5
6531,5
6575,5
6601,2
6602,2
6604,2
6605,2
6606,5
6607,2
6608,2
6610,2
6611,7
6612,7
6613,7
6614,2
6616,5
6617,5
6619,2
6620,5
6621,5
6622,2
6625,2
6626,2
6627,2
6628,1
6629,2
6630,6
6631,1
6632,2
6634,5
6635,2
6636,2
6637,7
6638,5
6639,6
6640,6
6651,5
6652,5
6653,5
6655,5
6659,6
6665,5
6719,7
6720,5
6721,5
6722,7
6723,7
6724,2
6725,5
6726,5
6727,7
6728,6
6729,5
6779,5
6780,5
6781,6
6800,5
6801,5
6803,5
6950,7
7000,7
7001,7
7003,5
7004,5
7005,5
7006,5
7007,5
7009,5
7010,6
7011,7
7012,7
7014,5
7015,6
7017,5
7018,5
7019,5
7020,5
7021,6
7022,5
7023,5
7024,5
7028,5
7030,5
7033,5
7034,5
7035,5
7039,2
7040,2
7041,1
7042,1
7043,2
7045,1
7046,5
7047,6
7054,6
7057,5
7058,5
7059,6
7060,4
7061,7
7062,5
7063,5
7065,5
7066,5
7067,5
7068,5
7069,5
7070,7
7072,5
7073,5
7074,7
7075,5
7076,2
7077,6
7078,5
7079,7
7080,2
7081,5
7082,5
7083,5
7084,2
7085,5
7086,2
7087,5
7088,5
7089,5
7090,5
7091,5
7092,5
7093,5
7094,7
7095,1
7096,5
7098,5
7099,5
7100,5
7101,5
7103,5
7104,5
7105,5
7106,7
7107,7
7108,5
7109,7
7110,2
7111,2
7112,7
7113,5
7114,5
7115,2
7116,5
7117,5
7118,7
7119,5
7121,5
7122,5
7123,4
7124,4
7126,1
7127,2
7128,1
7129,2
7130,5
7131,2
7132,2
7133,2
7134,5
7135,5
7138,1
7139,1
7140,1
7141,1
7143,2
7144,2
7145,2
7146,2
7147,2
7150,5
7151,2
7152,2
7153,5
7154,6
7156,2
7157,2
7158,5
7159,5
7160,4
7161,7
7162,5
7163,5
7164,2
7165,5
7166,5
7167,5
7169,5
7170,6
7171,5
7172,5
7173,5
7175,5
7176,5
7177,5
7179,5
7180,2
7181,2
7184,2
7185,2
7186,7
7188,5
7189,5
7190,5
7191,5
7193,5
7194,6
7195,6
7196,6
7197,6
7198,5
7199,7
7200,5
7201,6
7202,6
7203,5
7206,5
7207,2
7208,7
7210,5
7211,5
7212,7
7214,5
7215,5
7217,5
7218,5
7219,5
7220,5
7221,5
7222,5
7223,5
7225,7
7227,5
7228,5
7229,6
7231,5
7233,5
7234,5
7237,5
7238,5
7239,5
7243,1
7244,2
7245,2
7246,5
7248,2
7250,2
7251,1
7252,2
7253,5
7254,2
7255,2
7260,5
7267,6
7268,6
7269,3
7270,5
7271,5
7272,5
7273,5
7274,2
7275,6
7276,5
7277,5
7278,5
7279,5
7280,5
7281,7
7282,2
7283,4
7284,4
7285,4
7286,7
7287,5
7289,5
7290,5
7291,7
7292,5
7294,5
7295,2
7296,2
7297,2
7298,6
7299,5
7300,5
7302,5
7303,7
7304,6
7305,5
7306,6
7307,7
7308,5
7312,6
7313,5
7314,5
7315,5
7316,5
7317,6
7318,5
7319,5
7320,6
7321,5
7322,6
7323,6
7325,6
7326,7
7327,7
7328,5
7329,5
7330,5
7331,6
7332,5
7333,5
7334,5
7335,7
7336,5
7337,7
7338,5
7339,5
7340,5
7341,5
7342,7
7343,5
7345,5
7346,5
7347,5
7348,7
7349,5
7350,5
7351,5
7352,5
7353,5
7354,7
7355,5
7356,5
7359,7
7360,6
7361,6
7362,5
7363,5
7364,5
7366,1
7367,5
7368,5
7369,5
7370,5
7371,5
7372,5
7373,5
7374,7
7375,6
7376,5
7378,5
7379,5
7380,5
7381,2
7382,4
7384,7
7386,6
7389,5
7390,5
7391,6
7392,5
7395,5
7396,5
7400,7
7401,7
7402,7
7403,6
7404,6
7405,6
7406,6
7407,5
7410,5
7417,6
7418,6
7419,5
7420,5
7421,7
7422,6
7423,6
7428,7
7464,7
7465,2
7474,5
7475,5
7502,5
7503,5
7507,6
7509,7
7510,6
7511,5
7512,6
7513,5
7514,3
7515,3
7516,3
7517,3
7518,3
7519,5
7520,6
7521,5
7522,6
7523,5
7524,5
7525,5
7527,5
7528,5
7532,5
7533,5
7601,6
7602,5
7606,5
7607,5
7608,5
7610,7
7611,5
7612,5
7613,5
7614,5
7615,5
7616,6
7617,5
7618,5
7619,5
7620,6
7621,5
7622,5
7623,6
7624,6
7625,5
7626,5
7627,5
7629,5
7631,7
7632,7
7633,2
7634,6
7635,5
7636,7
7637,5
7638,5
7640,5
7641,5
7642,2
7643,5
7647,5
7656,5
7657,5
7812,6
7813,5
7815,5
7816,5
7818,5
7819,7
7821,5
7826,5
7828,5
7829,5
7830,5
7910,1
8102,5
8104,5
8105,3
8106,5
8107,5
8109,5
8110,5
8111,5
8113,5
8114,5
8115,5
8116,5
8117,2
8118,5
8119,5
8120,5
8121,5
8123,5
8124,5
8126,5
8131,5
8150,5
8154,5
8155,5
8156,5
8157,7
8158,7
8170,6
8171,5
8201,5
8205,5
8207,5
8208,2
8209,5
8210,5
8211,7
8212,7
8213,5
8216,5
8218,5
8220,5
8221,5
8222,5
8223,5
8224,5
8225,2
8226,2
8227,2
8229,2
8279,2
8282,5
8283,2
8301,1
8302,1
8304,2
8305,2
8306,5
8309,1
8310,5
8401,6
8402,6
8403,5
8404,5
8405,5
8454,5
8501,7
8503,5
8504,5
8505,5
8508,5
8512,5
8601,5
8603,6
8604,5
8605,2
8606,5
8607,7
8608,7
8609,6
8611,5
8612,5
8613,5
8614,5
8615,5
8616,5
8617,5
8618,5
8619,5
8620,5
8621,5
8622,2
8623,7
8624,5
8625,5
8626,7
8627,6
8628,7
8629,5
8630,5
8631,5
8632,5
8633,5
8634,7
8635,7
8636,6
8637,7
8640,5
8643,5
8644,5
8645,5
8646,6
8649,5
8656,6
8658,6
8659,7
8660,5
8661,5
8701,5
8725,7
8826,5
8828,5
8829,5
8830,5
8831,6
8832,5
8833,5
